Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Region,Category,Sub-Category,Quantity,Discount,Sales,Profit
1,ORD-1001,2024-10-16,2024-10-20,Second Class,CUST-1000,Navya Verma,Corporate,West,Furniture,Tables,10,0.1,4131.97,330.56
2,ORD-1002,2024-10-27,2024-10-31,Standard Class,CUST-1001,Sai Chopra,Corporate,South,Office Supplies,Storage,7,0.0,160.16,35.24
3,ORD-1003,2024-09-10,2024-09-14,Standard Class,CUST-1002,Navya Patel,Home Office,North,Office Supplies,Binders,11,0.15,1093.53,174.96
4,ORD-1004,2023-10-24,2023-10-28,Second Class,CUST-1003,Diya Gupta,Consumer,West,Technology,Copiers,6,0.15,6117.57,550.58
5,ORD-1005,2023-06-17,2023-06-19,First Class,CUST-1004,Vivaan Singh,Corporate,North,Technology,Accessories,1,0.2,137.22,9.61
6,ORD-1006,2024-10-20,2024-10-24,Standard Class,CUST-1005,Riya Nair,Corporate,North,Furniture,Bookcases,6,0.0,1559.06,187.09
7,ORD-1007,2024-10-04,2024-10-04,Same Day,CUST-1006,Anika Patel,Consumer,East,Office Supplies,Art,9,0.15,54.32,8.69
8,ORD-1008,2023-04-25,2023-04-28,Second Class,CUST-1007,Anika Desai,Home Office,North,Furniture,Bookcases,2,0.1,1540.02,123.2
9,ORD-1009,2024-09-05,2024-09-10,Standard Class,CUST-1008,Riya Verma,Consumer,North,Technology,Machines,2,0.1,2848.07,313.29
10,ORD-1010,2024-07-16,2024-07-18,Second Class,CUST-1009,Reyansh Chopra,Home Office,East,Office Supplies,Paper,5,0.2,386.55,54.12
11,ORD-1011,2023-08-19,2023-08-26,Standard Class,CUST-1010,Vivaan Singh,Consumer,North,Office Supplies,Labels,2,0.0,207.72,45.7
12,ORD-1012,2024-08-07,2024-08-11,Standard Class,CUST-1011,Aadhya Reddy,Consumer,North,Office Supplies,Art,7,0.15,697.52,111.6
13,ORD-1013,2023-12-14,2023-12-18,Standard Class,CUST-1012,Kiara Singh,Consumer,North,Furniture,Furnishings,2,0.0,886.73,106.41
14,ORD-1014,2023-06-20,2023-06-27,Standard Class,CUST-1013,Saanvi Patel,Consumer,South,Technology,Phones,8,0.15,8474.54,762.71
15,ORD-1015,2023-10-31,2023-11-05,Standard Class,CUST-1014,Riya Iyer,Corporate,North,Technology,Phones,9,0.1,1156.51,127.22
16,ORD-1016,2024-11-22,2024-11-28,Standard Class,CUST-1015,Aditya Nair,Corporate,South,Technology,Accessories,11,0.0,15458.56,2318.78
17,ORD-1017,2024-02-10,2024-02-12,Second Class,CUST-1016,Riya Verma,Consumer,East,Office Supplies,Binders,2,0.0,126.35,27.8
18,ORD-1018,2023-10-19,2023-10-25,Standard Class,CUST-1017,Vihaan Desai,Corporate,West,Technology,Phones,3,0.0,3379.51,506.93
19,ORD-1019,2023-12-18,2023-12-20,First Class,CUST-1018,Vivaan Verma,Consumer,East,Office Supplies,Art,11,0.15,386.78,61.88
20,ORD-1020,2024-07-28,2024-07-29,First Class,CUST-1019,Riya Kumar,Corporate,North,Technology,Accessories,3,0.3,1579.97,47.4
21,ORD-1021,2024-11-29,2024-12-02,Second Class,CUST-1020,Krishna Rao,Home Office,North,Technology,Copiers,3,0.0,3984.16,597.62
22,ORD-1022,2023-10-01,2023-10-08,Standard Class,CUST-1021,Kiara Reddy,Home Office,East,Office Supplies,Binders,5,0.15,502.34,80.37
23,ORD-1023,2023-10-13,2023-10-19,Standard Class,CUST-1022,Ishaan Gupta,Consumer,South,Office Supplies,Labels,10,0.0,355.29,78.16
24,ORD-1024,2023-07-14,2023-07-21,Standard Class,CUST-1023,Ananya Mehta,Consumer,East,Furniture,Tables,6,0.1,3631.55,290.52
25,ORD-1025,2024-12-14,2024-12-16,First Class,CUST-1024,Ira Mehta,Corporate,North,Office Supplies,Art,5,0.0,504.39,110.97
26,ORD-1026,2024-03-28,2024-04-02,Standard Class,CUST-1025,Ira Reddy,Corporate,South,Technology,Accessories,2,0.0,2051.11,307.67
27,ORD-1027,2023-02-17,2023-02-19,First Class,CUST-1026,Riya Singh,Consumer,South,Technology,Phones,12,0.15,4627.29,416.46
28,ORD-1028,2023-08-13,2023-08-15,First Class,CUST-1027,Vihaan Iyer,Corporate,West,Office Supplies,Binders,3,0.1,237.95,42.83
29,ORD-1029,2024-07-15,2024-07-20,Standard Class,CUST-1028,Ishaan Malhotra,Consumer,North,Technology,Copiers,9,0.15,5911.77,532.06
30,ORD-1030,2023-11-24,2023-11-28,Second Class,CUST-1029,Aditya Nair,Corporate,North,Furniture,Furnishings,7,0.2,2311.7,92.47
31,ORD-1031,2024-08-12,2024-08-12,Same Day,CUST-1030,Aadhya Kumar,Home Office,North,Office Supplies,Art,12,0.1,1128.9,203.2
32,ORD-1032,2023-01-30,2023-02-01,First Class,CUST-1031,Ira Kumar,Home Office,East,Technology,Accessories,1,0.0,1011.35,151.7
33,ORD-1033,2023-07-06,2023-07-07,First Class,CUST-1032,Ishaan Malhotra,Consumer,South,Furniture,Bookcases,7,0.1,1947.8,155.82
34,ORD-1034,2024-10-29,2024-11-03,Standard Class,CUST-1033,Myra Joshi,Corporate,North,Furniture,Chairs,2,0.15,1036.09,62.17
35,ORD-1035,2023-04-21,2023-04-25,Second Class,CUST-1034,Aditya Mehta,Consumer,West,Office Supplies,Art,12,0.0,395.13,86.93
36,ORD-1036,2023-12-22,2023-12-29,Standard Class,CUST-1035,Myra Verma,Consumer,East,Furniture,Bookcases,7,0.15,5801.55,348.09
37,ORD-1037,2024-04-21,2024-04-27,Standard Class,CUST-1036,Kiara Singh,Home Office,East,Office Supplies,Paper,8,0.1,635.09,114.32
38,ORD-1038,2023-08-06,2023-08-13,Standard Class,CUST-1037,Aarav Kumar,Corporate,North,Office Supplies,Labels,4,0.15,335.43,53.67
39,ORD-1039,2023-04-06,2023-04-10,Standard Class,CUST-1038,Aadhya Chopra,Consumer,South,Furniture,Bookcases,9,0.0,3161.24,379.35
40,ORD-1040,2023-11-20,2023-11-23,Second Class,CUST-1039,Ishaan Chopra,Consumer,East,Technology,Accessories,10,0.0,4603.48,690.52
41,ORD-1041,2024-01-05,2024-01-11,Standard Class,CUST-1040,Rohan Chopra,Consumer,North,Office Supplies,Storage,3,0.0,274.71,60.44
42,ORD-1042,2024-03-27,2024-04-02,Standard Class,CUST-1041,Myra Verma,Consumer,West,Office Supplies,Art,10,0.1,108.3,19.49
43,ORD-1043,2023-05-02,2023-05-06,Standard Class,CUST-1042,Kiara Desai,Consumer,South,Office Supplies,Labels,8,0.1,564.0,101.52
